participant,age,race,ethnicity,gender,strategy_response,exp_duration,prev_study
161,18,Black or African-American,Yes,Female,"I felt like how long something lasts is more important so I made sure to choose something that moves at a fast speed, and is durable but when it was durability vs. screen size i easily chose longer durability over a bigger screen",1297378,I'm not sure
162,21,White,No,Male,I tried to find a balance while maximizing the benefits.,307833.400000006,No
163,21,White,No,Female,I chose which of the 2 qualities was most important in my opinion (for microwaves I value the power more than the warranty so I looked at the power column) and then choose the option that has the best result for that quality while also having a decent/best result for the lesser important quality. I figured most people buy a TV based on the size so screen size was more important than lifespan but lifespan was still pretty important so sometimes I lower the importance of screen size if the lifespan was extremely poor for large screens. I also thought computer processing speed was more important than RAM as its fairly easy to install more RAM so having a fast processor would make that computer stand out for sales more.,709919,No
164,NA,"Asian,White",No,Male,I chose options with the best combination of attributes.,398427.799999714,No
165,20,White,No,Female,I picked what I thought was the best deal,NA,Yes
166,22,White,No,Female,the most even,774598.199999988,I'm not sure
167,19,Asian,No,Female,"I chose the item that had the best average. I would look at two factors and consider what I felt like was more important, most of the time I favored the ability of the machine over the warranty.",481937.800000001,No
168,19,"Asian,White",No,Male,I value lifespan and processing speed the most,501673.400000095,No
169,20,White,No,Female,"I chose which one had the most power/biggest screen, even if the warranty wasn't as good.",581588.800000191,No
170,19,White,No,Female,I just picked the highest combo of numbers,578737,Yes
171,19,White,No,Female,"I liked when something that would benefit me immediately was higher ranked. When I saw the number 100 however, I was more tempted to select that one.",332624,Yes
172,22,White,No,Female,"Most even distribution between both factors as possible, while prioritizing most useful factors like life expectancy",527957.299999997,No
173,20,White,No,Female,"I don't care about warranties, the other products I cared about both issues so I would choose highest overall scores",442749,No
174,21,White,No,Male,made sure to select the highest sum for each product and then it was pretty arbitrary from there.,NA,No
175,20,White,No,Male,I care more about money for some items and quality for others,339794.399999976,No
176,19,White,No,Female,I would decide which factor was more important to me or if they were equal and then from there I would see which products had the highest value for my preferred category. I would quickly check that the difference in the value for the less important factor wasn't too high/worth considering and then I would make my pick.,716785.200000018,I'm not sure
177,19,White,No,Male,A balance between the two. I also car more about how much energy they use,426362,No
179,19,White,No,Female,Higher numbers,369597.1,No
180,21,Asian,No,Male,I tried to get a good balance of the traits.,314434.200000048,Yes
182,18,Asian,No,Female,I chose a most important factor depending on my use of the item or need for the factor in my day to day life.,521852.800000001,No
183,18,Asian,No,Female,i just chose whichever one had a higher total. if they both had the same total i thought about whichever one i would prefer to be better. example- id rather have a faster processing speed than a higher ram,588338.100000024,No
184,20,Prefer not to say,No,Male,Epic,971463.399999976,No
185,21,Asian,No,Female,"I first saw the categories given to me for each of the products. Depending on the type of product, I prioritized which feature mattered to me more. If it was the Microwave, personally I prefer the cooking power over the warranty and so on. So for each of the products",535793,Yes
187,20,White,No,Female,I tried to look at which ones were more equal,543870.599999994,Yes
188,18,Black or African-American,Yes,Male,which numbers had the less difference between them,663851,Yes
189,18,White,No,Female,I chose which i thought was more important but tried to keep them somewhat equal too,665706.4,Yes
190,20,White,No,Female,"When it came to ones where the warranty was not that great, but the memory or processing speed/function was higher I typically chose that because to me it matters how well the product works.",484267.200000048,No
191,18,White,No,Female,"I choose the answer that made the most sense to me. I chose the higher warranty percentage than the higher quality because if the product breaks, the warranty is more important. It depended on each situation but sometimes it's better to go 90,40 than it is to go 100,30.",1018586.60000002,No
192,20,White,No,Male,"I first looked at the product, imagined what I would do in real life if I was purchasing this product, and applied what would realistically make me choose one or the other.",497705.799999997,Yes
193,21,White,No,Male,I saw it was online so I did it,343282.5,Yes
194,20,Asian,No,Female,I chose it by the energy savings and the life warranty.,233664.599999994,No
195,21,White,No,Female,"I felt compelled to choose the best option when one category had two of the same. Like if one was 100, 100, 90 paired with 20, 30, 40 I went with the middle one.",635061.600000024,I'm not sure
196,22,White,Yes,Female,"When it came to energy savings I tried to pick the highest rating product, while also trying to maintain a high cooking power if it was a microwave for example",290181.899999991,No
198,22,White,No,Female,"I looked at what was more important to me, and based my answer on which was higher.",914168.700000048,No
199,19,White,Yes,Female,"for the laptops I thought processing speed mattered more Tham memory, for the washing machine energy mattered more, for microwaves the warranty mattered more, and for the most part I got the highest for each unless I felt like the middle option was better, but never really felt like the lower option was the best",548778,Yes
200,20,White,No,Female,"If I saw an option that said 100, but the other collumn seemed to be weak, I would move on to an option that seemed more efficiant.",359104,No
201,21,White,No,Female,I chose my answers based on which category had higher numbers that I thought had priority over others,1230948,Yes
202,20,Asian,No,Male,I chose the options that had the best middle ground while still accurately representing what I thought was important,939275.5,No
203,20,White,No,Male,I chose the highest number of the quality I thought to be most important.,469930.200000003,I'm not sure
204,20,Other,Yes,Male,"I wanted to get as close to both being good, but would prioritize speed/life the most.",319211.399999857,No
205,21,Asian,No,Female,something that is equal,258820.299999997,I'm not sure
206,20,Asian,No,Male,"I chose what I think it desireable in an object. I want my devices to live longer, and I find processing speed very important.",430670,No
207,19,White,No,Female,whatever is the most balanced,528129.799999952,I'm not sure
208,22,Black or African-American,No,Female,i was thinking about quality over quantity,541023.799999997,Yes
210,20,Asian,No,Male,Some categories I found to be more important in the product so when the score in that category was highest for a product I chose that product,562091.5,No
211,20,Prefer not to say,Yes,Female,"The average lifespan is something important to take into account. As well as memory when it comes to laptops, since one may have a lot they want to store.",681843.200000048,No
213,20,White,No,Male,"I liked to chose the ones that were closer together, I would chose 90 and 40 over 100 and 30 every time, besides that I really didn't mind if it was a toss up.",358528,No
214,19,Other,Yes,Female,I payed attention to which would be more durable,592320,No
215,22,Black or African-American,No,Female,I focused on the avg lifespan and memory would choose those with higher numbers,327601.799999952,I'm not sure
216,19,White,No,Male,"I typically looked between the two better choices because one would be the obvious bad choice. Between those two options, I'd decide which one is more worth in based on how well it does in each task, trying to balance them and prioritize the more important category.",595702.400000095,No
217,NA,Prefer not to say,No,Female,I went based on the best balance between how long the product last and the efficency of it,524901.599999994,No
218,22,Other,Yes,Female,"When choosing an answer, I looked for the most balanced response. A decent amount of warranty or life span that will also work best.",806619,No
219,22,White,No,Female,"I tried to keep both options for the product as equal as possible. however, something like warranty, average life span and energy savings are the most important to me when purchasing a product so I will choose the product with a higher option for those.",960885,I'm not sure
221,19,White,No,Male,"I usually had some ranking of how important the qualities of the product are, and I would try to get the highest ranked ones as good as possible without compromising the others too much.",514694.799999952,Yes
222,20,Asian,No,Male,"Opp. cost, and where if find value",248871,No
223,21,White,No,Female,I picked what seemed like the best option,320837,No
224,18,Black or African-American,No,Female,"When it categorized microwave ( ex. Cook time and warranty) i choice which one was more. Valuable or important for me when getting a microwave. Although both are when it was higher than 80 for the option i felt was more important when getting a miceowave for me ( cook time), I would consider getting the option where cook time is still the highest but the warranty was also high as well, if that makes since.",NA,No
225,22,White,No,Female,best of both world but favoring the efficiency of the product,464419.400000036,No
226,18,White,No,Female,"I chose what I thought was worth it. For example, it was a pretty average lifespan but a larger screen size or better cooking ability, I chose to sacrifice a little to get something subjectively better. I didn't want to pick choices that were wildly different though",611371.699999999,Yes
227,21,Asian,No,Female,"I tried to choose the option with at least one category being 100 for most of the appliances because I believe that it is better to market one quality of the product as the best in the market and the other qualities being okay and still above average, rather than both qualities being okay/above average, but not the best.",1003008.7,I'm not sure
228,19,Other,Yes,Male,Pick best,307704,No
229,20,White,No,Female,I tried to go for the highest ratings overall and tried to value each column as much as I could,341725,I'm not sure
230,20,White,No,Female,"I was first looking for higher ratings/scores, and products that had similar scores between the two catagories (rather than one really high score and one really low score).",483253.899999976,Yes
231,21,Asian,No,Male,"Numbers, and what aligned with my interests for the product",274841.800000072,No
232,18,Black or African-American,No,Male,bigger numbers the better,1759400.29999995,No
233,21,White,No,Female,"I went about this task by choosing which category was more important to me as a consumer and which I was willing to sacrifice. For example, I was willing to have a lower cooking power for the best warranty since I could always get a new one if I found the cooking power was not suitable for me. Additionally, lifespan was super important to me for expensive appliances- but only if the other category had a suffiecient score.",766743.399999857,No
234,19,Black or African-American,No,Male,i just chose the smartest answers,1088642,No
235,20,White,No,Female,I just choose the one I thought was the best offer,423852.400000002,No
236,21,White,No,Female,I looked at comparing which would be better in the long run when it came to memory vs. warranty,317462.100000024,No
237,22,Asian,No,Female,totaling each value to see which option had the most. I stuck with the values closer to each other (ex. 50 and 50 instead of 90 and 10) for even distribution,394951.5,I'm not sure
238,NA,Black or African-American,No,Male,I chose the products that were more effecient and those that will  last more,1080887.70000005,No
239,20,Asian,No,Female,By choosing what is more important to me,424294.600000024,No
240,19,White,Yes,Female,"I kind of thought about this money wise, focusing on products that would last longer, even if their functions weren't as valuable. We could sell the product for longer and it would be cheaper.",561175.5,No
241,21,Asian,No,Male,"depend on what product, but basically i chose the higher key feature, while maintaining the balance",448319.3,No
242,22,Asian,No,Female,"I wanted the highest how long it would last/warranty and the highest efficiency of the machine, and i think things like energy savings are more important than computer speed or cooking time because im okay with microwaving something longer or deleting things off my computer to make it faster",477008.900000095,No
243,21,Asian,No,Female,"I went with longevity, and lifespan, with a balance in speeds with the computers. Warranty is not a big deal for me, and I would rather efficiency over a longer warranty.",576065.099999994,I'm not sure
245,21,White,No,Female,I mostly chose the option that was highest for each category.,711215.5,No
246,21,Black or African-American,No,Female,"I want the best for my product, I won't mind taking points from speed if the life span is better.",481409.300000012,I'm not sure
2,19,White,No,Male,I chose the greatest total number and wouldn't pick any that were like 100-20 I'd go for 80-40,347813.699999988,No
3,19,White,No,Female,"I chose to go with whatever category matched each other best, because when one is deficient, the other is strong, but together if they are about equal it would be best, in my mind.",999937.700000048,No
4,19,White,No,Male,I wanted to find the right balance between the 2 things being desrcibed so I was getting the best possible product each time.,399507.900000572,No
5,19,White,No,Male,I wanted the most efficient product of both categories,554671,No
6,18,White,No,Male,I would look at the two numbers and add them together to see which selections were the highest. If two selections were the same sum I would look at which one is more evenly distributed.,694930.599999905,No
7,20,White,No,Female,I ranked categories on what was most important to me and decided using that,199500.299999982,No
8,20,White,No,Male,I decided what was more important in certain products. Washing machines and televisions should last long and buying new ones are a hassle and not something you want to do often. I think people generally care more about a computers speed than memory. I think cooking power is more important in microwaves and people rarely exercise the warranty.,522343,I'm not sure
9,21,Other,No,Male,"I value functionality over lifespan in products, but lifespan is importatn so i would find the middle groun between the two",261817,I'm not sure
10,19,"White,Other",Yes,Male,i chose based on overall quality of the product,541248,No
11,21,Asian,No,Female,"In my opinion, average life span would be more prioritized. This is why I tried to make my decisions based on the best option for average life span. .",533336.800000001,No
12,21,White,No,Female,"I selected my answers based on the quality of the product. The products were things consumers typically have for 5+ years, so they are going to want the best thing for the quality of the produc",521864.900000006,No
13,20,Asian,No,Female,"I would make a decision about which category was more important to me and based on that, that category would have to have a higher score",870397.200000003,No
14,19,Other,No,Male,I used visual cues to guide my response,175531,No
15,19,Black or African-American,No,Male,I just picked the most reliable stuff so people can talk about the company selling quality  products which attracts more customers.,561132.599999994,No
16,21,White,No,Female,I picked a few things that I thought were the most importantly and went off of the ratings for those categories,307879,No
17,24,Asian,No,Female,I made my decision trying to find the balance between the options or if the conditions were something that I would care about.,647964.599999905,No
18,21,Asian,No,Female,choose what I need the most,315366,No
19,19,Other,Yes,Female,Whatever felt more logically useful on both categories or if one category is more of a necessity than the other for the object then I would choose whichever number is higher for it.,804270.399999857,No
20,21,White,No,Female,"I like to choose the one that has less of a difference between the two categories, and am not particularly drawn to one category or another so whichever i can get the best of both worlds is what I've been choosing.",444626.800000012,Yes
21,22,White,No,Male,I just clicked what I felt was best,173028.800000012,No
23,19,"Black or African-American,White",No,Female,I prioritized the life-span of the product and it's function.,683039,No
24,18,Asian,No,Female,"I tried to weigh what would be important to me with each factor. If there were some equal numbers such as lifespan at 90, 100, and 100, while the screen size was 40, 30, and 20 respectively, I decided to choose the one with the closest to average by sacrificing the other higher catergories.",789419,No
25,NA,White,No,Male,"I tried to choose the ones that were most evenly atributed to each category. If one said 100 and the other side said 30, I would choose the 90 and 40 instead.",830330,Yes
26,20,White,No,Female,"i chose what seemed to be the happy medium, except for the washing machine where I chose the best energy savings for the environment",527906.400000006,No
27,19,Asian,No,Male,"Some qualities are dealbreakers for me. For example, I will always prioritize TV screen size over warranty since I think I gain way more utility from a larger screen relative to having to spend more. I also took into account the marginal increase/decrease in score, noting that 100->90 is a 10% decrease while 40->30 is a 25% decrease. I can sacrifice 10% processing speed to gain 33% RAM since both are necessary for a good computer, but as a programmer I prefer RAM to processing speed if it's a 1 to 1 exchange.",637945.900000006,No
28,22,Asian,No,Male,I care more about utility rather than warranty or energy savings,349013.099999905,No
29,22,Asian,No,Female,finding a balance based on which is more valuable for the product,338304,No
30,18,White,Yes,Female,I chose based off of which option was more important in my opinion and than picked the one that had higher in that.,NA,No
31,19,White,No,Male,My biggest strategy was picking the machines with the longest life spans. Other than that I choose the option with the best of both worlds.,590398,No
33,21,Asian,No,Male,best of the best,477541.5,No
34,21,Asian,No,Male,"The longer lifespan for the product, the more likely i will pruches",434504.699999996,No
35,21,White,No,Female,I,880184.099999994,No
36,21,Asian,No,Female,i just went off of prior knowledge/ experience,294091,No
37,19,White,No,Female,I tried to choose the numbers that were as high as possible without making the other number decrease a lot,427019.799999952,I'm not sure
38,20,White,Yes,Male,Prioritized things like lifespan over warranty & prioritized speed over ram. I selected these options since they allow the products to work in the best way for me.,542842.200000003,No
39,19,White,No,Female,"certain things mattered more to me for example I would prefer to have a fast working computer, a long lasting washing machine, and I don't really care much about the size of my TV. I also tried to think realistically about things that have to be replaced more often. Besides that I mostly chose the options that were higher on both sides of the table.  I also realized that it seemed like the diferrence between 40 and 30 would have a bigger effect on the product than 90 and 100 for some reason.",839346,No
40,21,White,No,Female,I tried to pick something average in both,334336.699999999,No
42,20,White,No,Male,I was choosing the best options based on whatever appliance had an a great let score for their efficiency of use.,NA,No
43,21,White,No,Female,I chose the products with the best overall ratings,338956,No
44,19,Asian,No,Female,"I tried to pick the products with the highest numbers all around, but when there were much lower numbers for one aspect of the product (usually below 50) and the higher numbers were 90 instead of 100 for example, I chose products with 90 instead of 100 because 90 is still fairly close to 100, meaning any product with that number is still very good. I would rather have a product with higher numbers overall than a product with one very high number and one very low one.",1008897,No
45,20,White,No,Male,Trying to find the most efficient uses for the appliances,224376.400000002,No
46,18,White,No,Male,"I typically went for the higher numbers. I also thought about what I would be able to sacrifice for each item. I mainly prioritized life span, memory, and screen size, things I would in the real world.",475517.5,No
